key,en,es,fr,ar
countrytopology.start_by_creating_your_first_region_to_build_your_,Start by creating your first region to build your country topology,Comience creando su primera región para construir la topología de su país,Commencez par créer votre première région pour construire la topologie de votre pays,ابدأ بإنشاء أول منطقة لبناء طوبولوجيا الدولة الخاصة بك
countrytopology.these_nodes_need_panelist_assignment_to_be_operati,These nodes need panelist assignment to be operational,Estos nodos necesitan asignación de panelista para estar operativos,Ces nœuds nécessitent une assignation de panéliste pour être opérationnels,تحتاج هذه العقد إلى تعيين عضو لجنة لتكون عملية
countrytopology.topology_tree,Topology Tree,Árbol de topología,Arbre de topologie,شجرة الطوبولوجيا
countrytopology.total_nodes,Total Nodes,Nodos Totales,Nombre total de nœuds,إجمالي العقد
countrytopology.try_adjusting_your_search_or_filters,Try adjusting your search or filters,Intente ajustar su búsqueda o filtros,Essayez d'ajuster votre recherche ou vos filtres,حاول تعديل البحث أو الفلاتر
countrytopology.with_panelist,With Panelist,Con Panelista,Avec panéliste,مع مشارك
countrytopology.with_panelists,With Panelists,Con Panelistas,Avec panélistes,مع المشاركين
countrytopology.without_panelist,Without Panelist,Sin Panelista,Sans panéliste,بدون مشارك
countrytopology.without_panelists,Without Panelists,Sin Panelistas,Sans panélistes,بدون مشاركين
dashboard.active_carriers,Active Carriers,Transportistas Activos,Transporteurs actifs,الناقلون النشطون
dashboard.active_products,Active Products,Productos Activos,Produits actifs,المنتجات النشطة
dashboard.active_resources,Active Resources,Recursos Activos,Ressources actives,الموارد النشطة
dashboard.allocation_plans,Allocation Plans,Planes de Asignación,Plans d'allocation,خطط التخصيص
dashboard.availability_issues,Availability Issues,Problemas de Disponibilidad,Problèmes de disponibilité,مشاكل التوفر
dashboard.availability_rate,Availability Rate,Tasa de Disponibilidad,Taux de disponibilité,معدل التوفر
dashboard.available_combinations,Available combinations,Combinaciones Disponibles,Combinaisons disponibles,التوليفات المتاحة
dashboard.carrier_product_pairs,Carrier-Product Pairs,Pares Transportista-Producto,Paires transporteur-produit,أزواج الناقل-المنتج
dashboard.carriers_products,Carriers & Products,Transportistas y Productos,Transporteurs et produits,الناقلون والمنتجات
dashboard.configured_routes,Configured routes,Rutas Configuradas,Itinéraires configurés,المسارات المُعدة
dashboard.coverage_rate,Coverage Rate,Tasa de Cobertura,Taux de couverture,معدل التغطية
dashboard.critical_alerts,Critical Alerts,Alertas Críticas,Alertes critiques,التنبيهات الحرجة
dashboard.current_alerts,Current Alerts,Alertas Actuales,Alertes en cours,التنبيهات الحالية
dashboard.current_month,Current Month,Mes Actual,Mois en cours,الشهر الحالي
dashboard.currently_unavailable,Currently unavailable,Actualmente no disponible,Actuellement indisponible,غير متوفر حالياً
dashboard.delayed_shipments,Delayed Shipments,Envíos retrasados,Expéditions retardées,الشحنات المتأخرة
dashboard.delivery_standards,Delivery Standards,Estándares de entrega,Normes de livraison,معايير التسليم
dashboard.incomplete_standards,Incomplete standards,Estándares incompletos,Normes incomplètes,المعايير غير المكتملة
dashboard.issues_delays,Issues & Delays,Problemas y retrasos,Problèmes et retards,المشاكل والتأخيرات
dashboard.last_30_days,Last 30 days,Últimos 30 días,30 derniers jours,آخر 30 يومًا
dashboard.last_60_days,Last 60 days,Últimos 60 días,60 derniers jours,آخر 60 يومًا
dashboard.last_90_days,Last 90 days,Últimos 90 días,90 derniers jours,آخر 90 يومًا
dashboard.loading_dashboard,Loading dashboard...,Cargando panel de control...,Chargement du tableau de bord...,جارٍ تحميل لوحة التحكم...
dashboard.management_dashboard,Management Dashboard,Panel de gestión,Tableau de bord de gestion,لوحة إدارة
dashboard.management_tip,Management Tip,Consejo de gestión,Conseil de gestion,نصيحة إدارية
dashboard.material_management,Material Management,Gestión de materiales,Gestion des matériaux,إدارة المواد
dashboard.material_requirements,Material Requirements,Requisitos de materiales,Besoins en matériaux,متطلبات المواد
dashboard.needing_review,Needing Review,Necesita revisión,À réviser,بحاجة للمراجعة
dashboard.next_30_days,Next 30 days,Próximos 30 días,30 prochains jours,الـ 30 يومًا القادمة
dashboard.next_month,Next Month,Próximo mes,Mois prochain,الشهر القادم
dashboard.on_vacation,On Vacation,De vacaciones,En congé,في إجازة
dashboard.panelist_status,Panelist Status,Estado del panelista,Statut du panéliste,حالة الأعضاء
dashboard.panelist_stock,Panelist Stock,Inventario del panelista,Stock du panéliste,مخزون الأعضاء
dashboard.panelists_availability,Panelists & Availability,Panelistas y disponibilidad,Panélistes et disponibilité,الأعضاء والتوافر
dashboard.pending_items,Pending Items,Elementos pendientes,Articles en attente,العناصر المعلقة
dashboard.pending_shipments,Pending Shipments,Envíos pendientes,Expéditions en attente,الشحنات المعلقة
dashboard.purchase_orders,Purchase Orders,Órdenes de compra,Commandes d'achat,أوامر الشراء
dashboard.regulator_stock,Regulator Stock,Stock de reguladores,Stock de régulateurs,مخزون المنظم
dashboard.selected_period,Selected period:,Período seleccionado:,Période sélectionnée :,الفترة المحددة:
dashboard.shipments_to_panelists,Shipments to Panelists,Envíos a panelistas,Expéditions aux panélistes,الشحنات إلى المشاركين
dashboard.standards_configuration,Standards Configuration,Configuración de estándares,Configuration des normes,تكوين المعايير
dashboard.stock_alerts,Stock Alerts,Alertas de stock,Alertes de stock,تنبيهات المخزون
dashboard.total_panelists,Total Panelists,Total de panelistas,Total des panélistes,إجمالي المشاركين
dashboard.total_plans,Total Plans,Total de planes,Total des plans,إجمالي الخطط
dashboard.total_standards,Total Standards,Total de estándares,Total des normes,إجمالي المعايير
dashboard.total_status,Total & Status,Total y estado,Total et statut,الإجمالي والحالة
dashboard.upcoming_vacations,Upcoming Vacations,Próximas vacaciones,Vacances à venir,الإجازات القادمة
delivery_standards.carrier,Carrier *,Transportista *,Transporteur *,شركة النقل *
delivery_standards.clear_all_selections,Clear All Selections,Borrar todas las selecciones,Effacer toutes les sélections,مسح جميع التحديدات
delivery_standards.days,Days,Días,Jours,أيام
delivery_standards.destination_city,Destination City *,Ciudad de destino *,Ville de destination *,مدينة الوجهة *
delivery_standards.e_g_24,"e.g., 24","p. ej., 24",ex. : 24,مثال: 24
delivery_standards.e_g_85,"e.g., 85","p. ej., 85",ex. : 85,مثال: 85
delivery_standards.estimated_combinations,Estimated combinations:,Combinaciones estimadas:,Combinaisons estimées :,التوليفات المقدرة:
delivery_standards.generate_delivery_standards,Generate Delivery Standards,Generar Estándares de Entrega,Générer les normes de livraison,إنشاء معايير التسليم
delivery_standards.generation_complete,Generation Complete,Generación Completa,Génération terminée,اكتمل الإنشاء
delivery_standards.hours,Hours,Horas,Heures,ساعات
delivery_standards.no_products_for_this_carrier,No products for this carrier,No hay productos para este transportista,Aucun produit pour ce transporteur,لا توجد منتجات لهذا الناقل
delivery_standards.origin_city,Origin City *,Ciudad de Origen *,Ville d'origine *,مدينة المنشأ *
delivery_standards.product,Product *,Producto *,Produit *,المنتج *
delivery_standards.promise,Promise,Compromiso,Engagement,الوعد
delivery_standards.select_carrier,Select carrier,Seleccionar transportista,Sélectionner un transporteur,اختر الناقل
delivery_standards.select_destination,Select destination,Seleccionar destino,Sélectionner la destination,اختر الوجهة
delivery_standards.select_origin,Select origin,Seleccionar origen,Sélectionner l'origine,اختر المنشأ
delivery_standards.select_product,Select product,Seleccionar producto,Sélectionner le produit,اختر المنتج
delivery_standards.smart_generation,Smart Generation:,Generación Inteligente:,Génération intelligente :,الإنشاء الذكي:
delivery_standards.standard_time,Standard Time,Tiempo Estándar,Temps standard,الوقت القياسي
delivery_standards.success,Success %,% de Éxito,Taux de réussite %,نسبة النجاح %
delivery_standards.time_unit,Time Unit *,Unidad de Tiempo *,Unité de temps *,وحدة الوقت *
deliverystandards.about_delivery_standards,About Delivery Standards,Acerca de los Estándares de Entrega,À propos des normes de livraison,حول معايير التسليم
deliverystandards.absoluto,Absoluto:,Absoluto:,Absolu :,مطلق:
deliverystandards.absoluto_del_100,Absoluto (% del 100%),Absoluto (% del 100%),Absolu (% de 100 %),مطلق (% من 100%)
deliverystandards.all_carriers,All Carriers,Todos los Transportistas,Tous les transporteurs,جميع الناقلين
deliverystandards.all_cities,All Cities,Todas las Ciudades,Toutes les villes,جميع المدن
deliverystandards.all_products,All Products,Todos los productos,Tous les produits,جميع المنتجات
deliverystandards.all_types,All Types,Todos los tipos,Tous les types,جميع الأنواع
deliverystandards.carrier,Carrier,Transportista,Transporteur,الناقل
deliverystandards.carrier_s_product_service_type_e_g_express_standar,"Carrier's product/service type (e.g., Express, Standard, Economy)","Tipo de producto/servicio del transportista (p. ej., Exprés, Estándar, Económico)","Type de produit/service du transporteur (ex. : Express, Standard, Économique)",نوع منتج/خدمة الناقل (مثل: سريع، عادي، اقتصادي)
deliverystandards.city_where_the_package_is_delivered_destination_ci,City where the package is delivered (destination city),Ciudad donde se entrega el paquete (ciudad de destino),Ville de livraison du colis (ville de destination),المدينة التي يتم فيها تسليم الطرد (مدينة الوجهة)
deliverystandards.city_where_the_package_is_picked_up_origin_city,City where the package is picked up (origin city),Ciudad donde se recoge el paquete (ciudad de origen),Ville de prise en charge du colis (ville d'origine),المدينة التي يتم فيها استلام الطرد (مدينة المنشأ)
deliverystandards.configured,Configured,Configurado,Configuré,مُكوَّن
deliverystandards.create_delivery_standard,Create Delivery Standard,Crear estándar de entrega,Créer une norme de livraison,إنشاء معيار التسليم
deliverystandards.critical,Critical %,% crítico,% critique,النسبة الحرجة %
deliverystandards.critical_threshold,Critical Threshold (%),Umbral crítico (%),Seuil critique (%),العتبة الحرجة (%)
deliverystandards.days,Days,Días,Jours,أيام
deliverystandards.delivery_standards,Delivery Standards,Estándares de entrega,Normes de livraison,معايير التسليم
deliverystandards.destination,Destination,Destino,Destination,الوجهة
deliverystandards.destination_city,Destination City,Ciudad de destino,Ville de destination,مدينة الوجهة
deliverystandards.destination_type,Destination Type,Tipo de destino,Type de destination,نوع الوجهة
deliverystandards.e_g_10,"e.g., 10","p. ej., 10",ex. : 10,مثال: 10
deliverystandards.e_g_20,"e.g., 20","p. ej., 20",ex. : 20,مثال: 20
deliverystandards.e_g_24,"e.g., 24","p. ej., 24",ex. : 24,مثال: 24
deliverystandards.e_g_85,"e.g., 85","p. ej., 85",ex. : 85,مثال: 85
deliverystandards.edit_delivery_standard,Edit Delivery Standard,Editar estándar de entrega,Modifier la norme de livraison,تعديل معيار التسليم
deliverystandards.edit_or_delete_this_delivery_standard,Edit or delete this delivery standard,Editar o eliminar este estándar de entrega,Modifier ou supprimer cette norme de livraison,تعديل أو حذف معيار التسليم هذا
deliverystandards.ejemplo_success_95_warning_10_l_mite_90_100_10,"Ejemplo: Success=95%, Warning=10% → Límite=90% (100% - 10%)","Ejemplo: Éxito=95%, Advertencia=10% → Límite=90% (100% - 10%)","Exemple : Succès=95%, Avertissement=10% → Limite=90% (100% - 10%)",مثال: النجاح=95%، التحذير=10% → الحد=90% (100% - 10%)
deliverystandards.ejemplo_success_95_warning_5_l_mite_90_25_95_95_5,"Ejemplo: Success=95%, Warning=5% → Límite=90.25% (95% - 95%×5%)","Ejemplo: Éxito=95%, Advertencia=5% → Límite=90,25% (95% - 95%×5%)","Exemple : Succès=95%, Avertissement=5% → Limite=90,25% (95% - 95%×5%)",مثال: النجاح=95%، التحذير=5% → الحد=90.25% (95% - 95%×5%)
deliverystandards.filters,Filters,Filtros,Filtres,الفلاتر
deliverystandards.hours,Hours,Horas,Heures,الساعات
deliverystandards.j_k,J+K:,J+K:,J+K :,J+K:
deliverystandards.key_metrics,Key Metrics:,Métricas clave:,Indicateurs clés :,المقاييس الرئيسية:
deliverystandards.loading_delivery_standards,Loading delivery standards...,Cargando estándares de entrega...,Chargement des normes de livraison...,جاري تحميل معايير التسليم...
deliverystandards.logistics_carrier_responsible_for_delivery_e_g_dhl,"Logistics carrier responsible for delivery (e.g., DHL, FedEx)","Transportista logístico responsable de la entrega (p. ej., DHL, FedEx)","Transporteur logistique responsable de la livraison (ex. : DHL, FedEx)",الناقل اللوجستي المسؤول عن التسليم (مثل DHL، FedEx)
deliverystandards.los_thresholds_se_calculan_como_del_100,Los thresholds se calculan como % del 100%.,Los umbrales se calculan como % del 100%.,Les seuils sont calculés en % de 100%.,يتم حساب العتبات كنسبة مئوية من 100%.
deliverystandards.los_thresholds_se_calculan_como_del_success,Los thresholds se calculan como % del Success %.,Los umbrales se calculan como % del % de Éxito.,Les seuils sont calculés en % du % de succès.,يتم حساب العتبات كنسبة مئوية من نسبة النجاح.
deliverystandards.manage_delivery_time_standards_between_cities_for_,Manage delivery time standards between cities for each carrier and product,Gestionar estándares de tiempo de entrega entre ciudades para cada transportista y producto,Gérer les normes de temps de livraison entre villes pour chaque transporteur et produit,إدارة معايير وقت التسليم بين المدن لكل ناقل ومنتج
deliverystandards.no_delivery_standards_found_generate_combinations_,No delivery standards found. Generate combinations to get started.,No se encontraron estándares de entrega. Genere combinaciones para comenzar.,Aucune norme de livraison trouvée. Générez des combinaisons pour commencer.,لم يتم العثور على معايير تسليم. أنشئ مجموعات للبدء.
deliverystandards.origin,Origin,Origen,Origine,الأصل
deliverystandards.origin_city,Origin City,Ciudad de origen,Ville d'origine,مدينة الأصل
deliverystandards.origin_type,Origin Type,Tipo de origen,Type d'origine,نوع الأصل
deliverystandards.pending,Pending,Pendiente,En attente,قيد الانتظار
deliverystandards.pending_only,Pending Only,Solo pendientes,Uniquement en attente,الانتظار فقط
deliverystandards.product,Product,Producto,Produit,المنتج
deliverystandards.purpose,Purpose:,Propósito:,Objectif :,الغرض:
deliverystandards.relativo,Relativo:,Relativo:,Relatif :,نسبي:
deliverystandards.relativo_del_success,Relativo (% del Success %),Relativo (% del % de Éxito),Relatif (% du Succès %),نسبي (% من نسبة النجاح %)
deliverystandards.reset_all_filters,Reset all filters,Restablecer todos los filtros,Réinitialiser tous les filtres,إعادة تعيين جميع الفلاتر
deliverystandards.selected,Selected,Seleccionado,Sélectionné,المحدد
deliverystandards.standard_delivery_time_e_g_j_2_means_2_days_from_p,"Standard delivery time (e.g., J+2 means 2 days from pickup)","Tiempo de entrega estándar (p. ej., J+2 significa 2 días desde la recogida)","Délai de livraison standard (par ex., J+2 signifie 2 jours à partir de la prise en charge)",وقت التسليم القياسي (مثلاً، J+2 تعني يومين من الاستلام)
deliverystandards.standard_time,Standard Time,Tiempo estándar,Temps standard,الوقت القياسي
deliverystandards.std,Std %:,% Estándar:,% Std :,نسبة قياسية:
deliverystandards.success,Success %,% de Éxito,% de succès,نسبة النجاح %
deliverystandards.target_percentage_of_deliveries_meeting_the_j_k_st,Target percentage of deliveries meeting the J+K standard,Porcentaje objetivo de entregas que cumplen con el estándar J+K,Pourcentage cible de livraisons respectant la norme J+K,النسبة المستهدفة للتسليمات التي تفي بمعيار J+K
deliverystandards.threshold_calculation_type_relative_percentage_bas,Threshold calculation type: Relative (percentage-based) or Absolute (fixed value),Tipo de cálculo del umbral: Relativo (basado en porcentaje) o Absoluto (valor fijo),Type de calcul du seuil : Relatif (basé sur un pourcentage) ou Absolu (valeur fixe),نوع حساب العتبة: نسبي (معتمد على النسبة المئوية) أو مطلق (قيمة ثابتة)
deliverystandards.threshold_type,Threshold Type,Tipo de umbral,Type de seuil,نوع العتبة
deliverystandards.thresholds,Thresholds:,Umbrales:,Seuils :,العتبات:
deliverystandards.time_unit,Time Unit,Unidad de tiempo,Unité de temps,وحدة الوقت
deliverystandards.time_unit_for_the_j_k_value_hours_or_days,Time unit for the J+K value (hours or days),Unidad de tiempo para el valor J+K (horas o días),Unité de temps pour la valeur J+K (heures ou jours),وحدة الوقت لقيمة J+K (ساعات أو أيام)
deliverystandards.tipo_de_c_lculo_de_thresholds,Tipo de Cálculo de Thresholds:,Tipo de cálculo de umbrales:,Type de calcul des seuils :,نوع حساب العتبات:
deliverystandards.total_standards,Total Standards,Estándares totales,Normes totales,إجمالي المعايير
deliverystandards.type,Type,Tipo,Type,النوع
deliverystandards.type_a,Type A,Tipo A,Type A,النوع أ
deliverystandards.type_b,Type B,Tipo B,Type B,النوع ب
deliverystandards.type_c,Type C,Tipo C,Type C,النوع ج
deliverystandards.unit,Unit,Unidad,Unité,الوحدة
deliverystandards.usage,Usage:,Uso:,Utilisation :,الاستخدام:
deliverystandards.warning,Warning %,Advertencia %,Avertissement %,نسبة التحذير
deliverystandards.warning_and_critical_deviation_levels_for_performa,Warning and critical deviation levels for performance monitoring,Niveles de desviación de advertencia y crítica para el monitoreo del rendimiento,Niveaux d'alerte et de déviation critique pour la surveillance des performances,مستويات التحذير والانحراف الحرج لمراقبة الأداء
deliverystandards.warning_threshold,Warning Threshold (%),Umbral de advertencia (%),Seuil d'alerte (%),عتبة التحذير (%)
layout.all_accounts,All Accounts,Todas las cuentas,Tous les comptes,جميع الحسابات
layout.sign_out,Sign Out,Cerrar sesión,Déconnexion,تسجيل الخروج
layout.view_as_account,View as account:,Ver como cuenta:,Afficher en tant que compte :,عرض كحساب:
material_catalog.additional_details,Additional details...,Detalles adicionales...,Détails supplémentaires...,تفاصيل إضافية...
material_catalog.code,Code *,Código *,Code *,الرمز *
material_catalog.description,Description,Descripción,Description,الوصف
material_catalog.mat_001,MAT-001,MAT-001,MAT-001,MAT-001
material_catalog.minimum_stock_safety_stock,Minimum Stock (Safety Stock),Stock mínimo (Stock de seguridad),Stock minimum (stock de sécurité),الحد الأدنى للمخزون (مخزون الأمان)
material_catalog.name,Name *,Nombre *,Nom *,الاسم *
material_catalog.promise,Promise,Promesa,Promesse,الوعد
material_catalog.rfid_tag,RFID Tag,Etiqueta RFID,Étiquette RFID,علامة التعريف بالتردد اللاسلكي (RFID)
material_catalog.unit_measure,Unit Measure,Unidad de medida,Unité de mesure,وحدة القياس
material_catalog.units_kg_etc,"units, kg, etc.","unidades, kg, etc.","unités, kg, etc.",وحدات، كجم، إلخ.
materialcatalog.code,Code,Código,Code,الرمز
materialcatalog.description,Description,Descripción,Description,الوصف
materialcatalog.loading,Loading...,Cargando...,Chargement...,جارٍ التحميل...
materialcatalog.manage_reusable_materials_for_all_products,Manage reusable materials for all products,Gestionar materiales reutilizables para todos los productos,Gérer les matériaux réutilisables pour tous les produits,إدارة المواد القابلة لإعادة الاستخدام لجميع المنتجات
materialcatalog.material_catalog,Material Catalog,Catálogo de Materiales,Catalogue des matériaux,كتالوج المواد
materialcatalog.min_stock,Min Stock,Stock Mínimo,Stock min,الحد الأدنى للمخزون
materialcatalog.name,Name,Nombre,Nom,الاسم
materialcatalog.no_materials_in_catalog_create_your_first_material,No materials in catalog. Create your first material to get started.,No hay materiales en el catálogo. Crea tu primer material para comenzar.,Aucun matériau dans le catalogue. Créez votre premier matériau pour commencer.,لا توجد مواد في الكتالوج. أنشئ أول مادة للبدء.
materialcatalog.promise,Promise,Compromiso,Engagement,الوعد
materialcatalog.unit,Unit,Unidad,Unité,الوحدة
materialrequirements.all_materials,All Materials,Todos los Materiales,Tous les matériaux,جميع المواد
materialrequirements.all_nodes,All Nodes,Todos los Nodos,Tous les nœuds,جميع العقد
materialrequirements.calculate_material_needs_based_on_allocation_plans,Calculate material needs based on allocation plans,Calcular necesidades de material basadas en planes de asignación,Calculer les besoins en matériaux selon les plans d'allocation,حساب احتياجات المواد بناءً على خطط التخصيص
materialrequirements.end_date,End Date,Fecha de Fin,Date de fin,تاريخ الانتهاء
materialrequirements.error_calculating_requirements,Error calculating requirements,Error al calcular los requerimientos,Erreur lors du calcul des besoins,خطأ في حساب المتطلبات
materialrequirements.export_to_csv,Export to CSV,Exportar a CSV,Exporter en CSV,تصدير إلى CSV
materialrequirements.filters,Filters,Filtros,Filtres,عوامل التصفية
materialrequirements.material,Material,Material,Matériau,المادة
materialrequirements.material_code,Material Code,Código de Material,Code matériau,رمز المادة
materialrequirements.material_name,Material Name,Nombre del Material,Nom du matériau,اسم المادة
materialrequirements.material_requirements,Material Requirements,Requerimientos de Material,Besoins en matériaux,متطلبات المادة
materialrequirements.node,Node,Nodo,Nœud,العقدة
materialrequirements.panelist_requirements,Panelist Requirements,Requisitos para panelistas,Exigences des panélistes,متطلبات الأعضاء
materialrequirements.panelists_needing,Panelists Needing,Panelistas necesarios,Panélistes nécessaires,الأعضاء المطلوبون
materialrequirements.plans,Plans,Planes,Plans,الخطط
materialrequirements.purchase_requirements,Purchase Requirements,Requisitos de compra,Exigences d'achat,متطلبات الشراء
materialrequirements.quantity,Quantity,Cantidad,Quantité,الكمية
materialrequirements.quantity_needed,Quantity Needed,Cantidad necesaria,Quantité nécessaire,الكمية المطلوبة
materialrequirements.quick_period_selection,Quick Period Selection,Selección rápida de período,Sélection rapide de période,اختيار فترة سريع
materialrequirements.reset_all_filters,Reset all filters,Restablecer todos los filtros,Réinitialiser tous les filtres,إعادة تعيين جميع الفلاتر
materialrequirements.shipments,Shipments,Envíos,Expéditions,الشحنات
materialrequirements.start_date,Start Date,Fecha de inicio,Date de début,تاريخ البدء
materialrequirements.total_materials,Total Materials,Materiales totales,Matériaux totaux,إجمالي المواد
materialrequirements.unit,Unit,Unidad,Unité,الوحدة
materialrequirements.year,Year,Año,Année,السنة
nodeloadbalancing.acceptable_deviation_from_reference,Acceptable deviation from reference,Desviación aceptable respecto a la referencia,Écart acceptable par rapport à la référence,الانحراف المقبول عن المرجع
nodeloadbalancing.actualiza_fecha_programada_y_node_id_en_allocation,Actualiza fecha_programada y node_id en allocation_plan_details,Actualiza fecha_programada y node_id en allocation_plan_details,Met à jour fecha_programada et node_id dans allocation_plan_details,تحديث تاريخ_مجدول و node_id في تفاصيل خطة التخصيص
nodeloadbalancing.additional_nodes_required,Additional Nodes Required,Nodos adicionales requeridos,Nœuds supplémentaires requis,العقد الإضافية المطلوبة
nodeloadbalancing.after,After,Después de,Après,بعد
nodeloadbalancing.all_shipments_in_period,All shipments in period,Todos los envíos en el período,Toutes les expéditions dans la période,جميع الشحنات في الفترة
nodeloadbalancing.avg_node,Avg/Node:,Promedio por nodo:,Moyenne/Nœud :,متوسط/عقدة:
nodeloadbalancing.balance_not_needed,Balance Not Needed,Saldo no necesario,Solde non nécessaire,الرصيد غير مطلوب
nodeloadbalancing.before,Before,Antes,Avant,قبل
nodeloadbalancing.c_lculo_del_objetivo,Cálculo del objetivo:,Cálculo del objetivo:,Calcul de l'objectif :,حساب الهدف:
nodeloadbalancing.calculating_balance_preview,Calculating balance preview...,Calculando vista previa del balance...,Calcul de l'aperçu du solde...,جارٍ حساب معاينة الرصيد...
nodeloadbalancing.clasificaci_n,Clasificación:,Clasificación:,Classification :,التصنيف:
nodeloadbalancing.con_ref_63_y_20_normal_lt_75_6_high_75_6_saturated,"Con Ref=63 y %=20, Normal &lt; 75.6, High ≥ 75.6, Saturated ≥ 81.9","Con Ref=63 y %=20, Normal < 75.6, Alto ≥ 75.6, Saturado ≥ 81.9","Avec Ref=63 et %=20, Normal < 75,6, Élevé ≥ 75,6, Saturé ≥ 81,9",مع Ref=63 و %=20، عادي < 75.6، مرتفع ≥ 75.6، مشبع ≥ 81.9
nodeloadbalancing.concepto,Concepto:,Concepto:,Concept :,المفهوم:
nodeloadbalancing.critical,Critical:,Crítico:,Critique :,حرج:
nodeloadbalancing.deviation_tolerance,Deviation Tolerance (%),Tolerancia de desviación (%),Tolérance de déviation (%),تحمل الانحراف (%)
nodeloadbalancing.ejemplo,Ejemplo:,Ejemplo:,Exemple :,مثال:
nodeloadbalancing.ejemplo_305_shipments_1_nodo_5_semanas_61_por_celd,Ejemplo: 305 shipments / (1 nodo × 5 semanas) = 61 por celda,Ejemplo: 305 envíos / (1 nodo × 5 semanas) = 61 por celda,Exemple : 305 expéditions / (1 nœud × 5 semaines) = 61 par cellule,مثال: 305 شحنات / (1 عقدة × 5 أسابيع) = 61 لكل خلية
nodeloadbalancing.end_date,End Date,Fecha de finalización,Date de fin,تاريخ الانتهاء
nodeloadbalancing.even_after_optimal_balancing_the_average_load_per_,"Even after optimal balancing, the average load per node (","Incluso después del balance óptimo, la carga promedio por nodo (","Même après un équilibrage optimal, la charge moyenne par nœud (",حتى بعد التوازن الأمثل، متوسط الحمل لكل عقدة (
nodeloadbalancing.expected_average_samples_per_node,Expected average samples per node,Muestras promedio esperadas por nodo,Échantillons moyens attendus par nœud,متوسط العينات المتوقع لكل عقدة
nodeloadbalancing.filters,Filters,Filtros,Filtres,الفلاتر
nodeloadbalancing.high_load,High Load:,Carga alta:,Charge élevée :,حمل مرتفع:
nodeloadbalancing.high_load_nodes,High Load Nodes,Nodos con carga alta,Nœuds à charge élevée,عقد ذات حمل مرتفع
nodeloadbalancing.how_it_works,How it works:,Cómo funciona:,Comment ça fonctionne :,كيف يعمل:
nodeloadbalancing.identifica_celdas_sobrecargadas_gt_objetivo_1_2,Identifica celdas sobrecargadas (&gt; objetivo × 1.2),Identifica celdas sobrecargadas (> objetivo × 1.2),"Identifie les cellules surchargées (> objectif × 1,2)",يحدد الخلايا المحملة بشكل زائد (> الهدف × 1.2)
nodeloadbalancing.identifica_celdas_subcargadas_lt_objetivo_0_9,Identifica celdas subcargadas (&lt; objetivo × 0.9),Identifica celdas subcargadas (< objetivo × 0.9),"Identifie les cellules sous-chargées (< objectif × 0,9)",يحدد الخلايا المحملة بشكل ناقص (< الهدف × 0.9)
nodeloadbalancing.improvement,Improvement,Mejora,Amélioration,تحسين
nodeloadbalancing.load_distribution_matrix,Load Distribution Matrix,Matriz de Distribución de Carga,Matrice de répartition de charge,مصفوفة توزيع الأحمال
nodeloadbalancing.load_level,Load Level:,Nivel de Carga:,Niveau de charge :,مستوى الحمل:
nodeloadbalancing.loading_node_load_data,Loading node load data...,Cargando datos de carga del nodo...,Chargement des données de charge du nœud...,جارٍ تحميل بيانات حمل العقدة...
nodeloadbalancing.matrix_balancing_algorithm,Matrix Balancing Algorithm,Algoritmo de Balanceo de Matriz,Algorithme d'équilibrage de matrice,خوارزمية موازنة المصفوفة
nodeloadbalancing.matrix_data_not_available,Matrix data not available,Datos de la matriz no disponibles,Données de matrice non disponibles,بيانات المصفوفة غير متوفرة
nodeloadbalancing.minimiza_la_desviaci_n_est_ndar_de_toda_la_matriz,Minimiza la desviación estándar de toda la matriz,Minimiza la desviación estándar de toda la matriz,Minimiser l'écart-type de toute la matrice,تقليل الانحراف المعياري لكامل المصفوفة
nodeloadbalancing.monthly_avg,Monthly Avg,Promedio Mensual,Moyenne mensuelle,المتوسط الشهري
nodeloadbalancing.movements,Movements,Movimientos,Mouvements,الحركات
nodeloadbalancing.mueve_shipments_de_celdas_sobrecargadas_a_subcarga,Mueve shipments de celdas sobrecargadas a subcargadas,Mueve envíos de celdas sobrecargadas a subcargadas,Déplace les expéditions des cellules surchargées vers les cellules sous-chargées,نقل الشحنات من الخلايا المحملة بشكل زائد إلى الخلايا المحملة بشكل ناقص
nodeloadbalancing.no_action_required_all_cells_are_within_acceptable,No action required. All cells are within acceptable range.,No se requiere acción. Todas las celdas están dentro del rango aceptable.,Aucune action requise. Toutes les cellules sont dans la plage acceptable.,لا حاجة لاتخاذ إجراء. جميع الخلايا ضمن النطاق المقبول.
nodeloadbalancing.no_data_available_for_the_selected_period_try_sele,No data available for the selected period. Try selecting a different month.,No hay datos disponibles para el período seleccionado. Intente seleccionar un mes diferente.,Aucune donnée disponible pour la période sélectionnée. Essayez de choisir un autre mois.,لا توجد بيانات للفترة المحددة. حاول اختيار شهر مختلف.
nodeloadbalancing.node,Node,Nodo,Nœud,العقدة
nodeloadbalancing.node_load_balancing,Node Load Balancing,Balanceo de Carga de Nodos,Équilibrage de charge des nœuds,موازنة حمل العقد
nodeloadbalancing.nodes_at_120_150_avg_load,Nodes at 120-150% avg load,Nodos con carga promedio entre 120-150%,Nœuds à 120-150 % de la charge moyenne,العقد بنسبة تحميل 120-150% من المتوسط
